,Name,Weight (%),Identifier,Sector,Shares Held,yfinance_ticker
141,GENERAL DYNAMICS CORP,0.14546,GD,-,2685155.0,GD
142,MCKESSON CORP,0.143958,MCK,-,1543216.0,MCK
143,CSX CORP,0.143307,CSX,-,23210097.0,CSX
144,FEDEX CORP,0.140065,FDX,-,2687636.0,FDX
145,ARTHUR J GALLAGHER + CO,0.139302,AJG,-,2559148.0,AJG
146,ECOLAB INC,0.136631,ECL,-,3013427.0,ECL
147,AIR PRODUCTS + CHEMICALS INC,0.131314,APD,-,2641150.0,APD
148,MARATHON PETROLEUM CORP,0.128481,MPC,-,4183112.0,MPC
149,ROPER TECHNOLOGIES INC,0.127951,ROP,-,1262473.0,ROP
150,CARRIER GLOBAL CORP,0.127905,CARR,-,9949393.0,CARR
151,NEWMONT CORP,0.127632,NEM,-,13702892.0,NEM
152,NXP SEMICONDUCTORS NV,0.12734,NXPI,-,3035863.0,NXPI
153,SCHLUMBERGER LTD,0.127091,SLB,-,16909960.0,SLB
154,FREEPORT MCMORAN INC,0.126064,FCX,-,17033263.0,FCX
155,CROWDSTRIKE HOLDINGS INC   A,0.124857,CRWD,-,2738780.0,CRWD
156,NORFOLK SOUTHERN CORP,0.124209,NSC,-,2685108.0,NSC
157,AFLAC INC,0.123692,AFL,-,6139315.0,AFL
158,EMERSON ELECTRIC CO,0.122993,EMR,-,6769854.0,EMR
159,TRUIST FINANCIAL CORP,0.122977,TFC,-,15802331.0,TFC
160,DR HORTON INC,0.122127,DHI,-,3546016.0,DHI
161,PUBLIC STORAGE,0.120289,PSA,-,1880973.0,PSA
162,MARRIOTT INTERNATIONAL  CL A,0.119947,MAR,-,2848302.0,MAR
163,CONSTELLATION ENERGY,0.119878,CEG,-,3742695.0,CEG
164,REALTY INCOME CORP,0.119363,O,-,10338412.0,O
165,PHILLIPS 66,0.119331,PSX,-,5033121.0,PSX
166,GE VERNOVA INC,0.118604,GEV,-,3232053.0,GEV
167,WILLIAMS COS INC,0.118406,WMB,-,14458730.0,WMB
168,GENERAL MOTORS CO,0.118153,GM,-,13546352.0,GM
169,AMERICAN ELECTRIC POWER,0.117919,AEP,-,6245101.0,AEP
170,TRAVELERS COS INC/THE,0.117685,TRV,-,2712804.0,TRV
171,AUTODESK INC,0.117585,ADSK,-,2538265.0,ADSK
172,AUTOZONE INC,0.11748,AZO,-,205311.0,AZO
173,ONEOK INC,0.116713,OKE,-,6927227.0,OKE
174,SIMON PROPERTY GROUP INC,0.116431,SPG,-,3873619.0,SPG
175,CAPITAL ONE FINANCIAL CORP,0.116338,COF,-,4523500.0,COF
176,HILTON WORLDWIDE HOLDINGS IN,0.115492,HLT,-,2929115.0,HLT
177,SEMPRA,0.113598,SRE,-,7478129.0,SRE
178,ROSS STORES INC,0.111733,ROST,-,4011659.0,ROST
179,AIRBNB INC CLASS A,0.110837,ABNB,-,5241822.0,ABNB
180,CROWN CASTLE INC,0.110764,CCI,-,5155374.0,CCI
181,BANK OF NEW YORK MELLON CORP,0.109099,BK,-,8878796.0,BK
182,KIMBERLY CLARK CORP,0.109072,KMB,-,4012612.0,KMB
183,PACCAR INC,0.107184,PCAR,-,6212271.0,PCAR
184,ALLSTATE CORP,0.106679,ALL,-,3110496.0,ALL
185,FORTINET INC,0.10522,FTNT,-,7566718.0,FTNT
186,DIGITAL REALTY TRUST INC,0.105171,DLR,-,3834923.0,DLR
187,DOMINION ENERGY INC,0.105019,D,-,9938587.0,D
188,AMERICAN INTERNATIONAL GROUP,0.104841,AIG,-,7879724.0,AIG
189,UNITED RENTALS INC,0.10046,URI,-,797167.0,URI
190,FIDELITY NATIONAL INFO SERV,0.099418,FIS,-,6604231.0,FIS
191,JOHNSON CONTROLS INTERNATION,0.09884,JCI,-,7874325.0,JCI
192,IQVIA HOLDINGS INC,0.097849,IQV,-,2175660.0,IQV
193,LENNAR CORP A,0.097406,LEN,-,2934161.0,LEN
194,MSCI INC,0.097352,MSCI,-,939812.0,MSCI
195,METLIFE INC,0.097205,MET,-,7091804.0,MET
196,TE CONNECTIVITY LTD,0.096459,TEL,-,3635985.0,TEL
197,VALERO ENERGY CORP,0.096394,VLO,-,3882368.0,VLO
198,KENVUE INC,0.096181,KVUE,-,22739570.0,KVUE
199,AMERIPRISE FINANCIAL INC,0.094708,AMP,-,1189914.0,AMP
200,HUMANA INC,0.094708,HUM,-,1430345.0,HUM
201,COPART INC,0.094644,CPRT,-,10342056.0,CPRT
202,L3HARRIS TECHNOLOGIES INC,0.094621,LHX,-,2250541.0,LHX
203,FAIR ISAAC CORP,0.094199,FICO,-,293605.0,FICO
204,P G + E CORP,0.094187,PCG,-,25351047.0,PCG
205,GENERAL MILLS INC,0.09369,GIS,-,6746079.0,GIS
206,WW GRAINGER INC,0.09198,GWW,-,524426.0,GWW
207,PAYCHEX INC,0.091421,PAYX,-,3818975.0,PAYX
208,REPUBLIC SERVICES INC,0.091129,RSG,-,2428347.0,RSG
209,FORD MOTOR CO,0.090754,F,-,46360232.0,F
210,ARCH CAPITAL GROUP LTD,0.090057,ACGL,-,4406765.0,ACGL
211,PRUDENTIAL FINANCIAL INC,0.089804,PRU,-,4285751.0,PRU
212,KINDER MORGAN INC,0.089778,KMI,-,22963425.0,KMI
213,EDWARDS LIFESCIENCES CORP,0.088999,EW,-,7199615.0,EW
214,CONSTELLATION BRANDS INC A,0.08825,STZ,-,1915425.0,STZ
215,AGILENT TECHNOLOGIES INC,0.088203,A,-,3474515.0,A
216,MICROCHIP TECHNOLOGY INC,0.088067,MCHP,-,6424235.0,MCHP
217,CUMMINS INC,0.087782,CMI,-,1618051.0,CMI
218,PUBLIC SERVICE ENTERPRISE GP,0.086851,PEG,-,5916319.0,PEG
219,IDEXX LABORATORIES INC,0.086302,IDXX,-,987474.0,IDXX
220,SYSCO CORP,0.085965,SYY,-,5912570.0,SYY
221,CENCORA INC,0.085873,COR,-,1975204.0,COR
222,CORTEVA INC,0.085638,CTVA,-,8365173.0,CTVA
223,VERISK ANALYTICS INC,0.085157,VRSK,-,1694193.0,VRSK
224,MONOLITHIC POWER SYSTEMS INC,0.084866,MPWR,-,568851.0,MPWR
225,KEURIG DR PEPPER INC,0.084402,KDP,-,12375503.0,KDP
226,EXELON CORP,0.083625,EXC,-,11831468.0,EXC
227,COGNIZANT TECH SOLUTIONS A,0.083352,CTSH,-,5939953.0,CTSH
228,CENTENE CORP,0.083127,CNC,-,6342986.0,CNC
229,AMETEK INC,0.082935,AME,-,2739152.0,AME
230,GARTNER INC,0.082822,IT,-,925454.0,IT
231,FASTENAL CO,0.082787,FAST,-,6790623.0,FAST
232,YUM  BRANDS INC,0.082586,YUM,-,3334193.0,YUM
233,OTIS WORLDWIDE CORP,0.08176,OTIS,-,4833019.0,OTIS
234,ROYAL CARIBBEAN CRUISES LTD,0.081231,RCL,-,2804365.0,RCL
235,EXTRA SPACE STORAGE INC,0.080661,EXR,-,2511503.0,EXR
236,GE HEALTHCARE TECHNOLOGY,0.079282,GEHC,-,5035728.0,GEHC
237,QUANTA SERVICES INC,0.079271,PWR,-,1728100.0,PWR
238,RESMED INC,0.079037,RMD,-,1744464.0,RMD
239,EQUIFAX INC,0.078797,EFX,-,1458068.0,EFX
240,HOWMET AEROSPACE INC,0.078644,HWM,-,4648338.0,HWM
241,CONSOLIDATED EDISON INC,0.078432,ED,-,4104369.0,ED
242,DOW INC,0.078101,DOW,-,8328902.0,DOW
243,ELECTRONIC ARTS INC,0.077278,EA,-,2900219.0,EA
244,INGERSOLL RAND INC,0.077267,IR,-,4808876.0,IR
245,HESS CORP,0.076639,HES,-,3279538.0,HES
246,VICI PROPERTIES INC,0.076098,VICI,-,12288101.0,VICI
247,XCEL ENERGY INC,0.075902,XEL,-,6520821.0,XEL
248,MONSTER BEVERAGE CORP,0.075805,MNST,-,8421354.0,MNST
249,OCCIDENTAL PETROLEUM CORP,0.075483,OXY,-,7840888.0,OXY
250,HARTFORD FINANCIAL SVCS GRP,0.075428,HIG,-,3560666.0,HIG
251,KROGER CO,0.075142,KR,-,7769533.0,KR
252,BAKER HUGHES CO,0.07488,BKR,-,11924002.0,BKR
253,CBRE GROUP INC   A,0.074283,CBRE,-,3535648.0,CBRE
254,NUCOR CORP,0.073096,NUE,-,2846427.0,NUE
255,EDISON INTERNATIONAL,0.072917,EIX,-,4548062.0,EIX
256,DUPONT DE NEMOURS INC,0.072688,DD,-,4963998.0,DD
257,OLD DOMINION FREIGHT LINE,0.072663,ODFL,-,2124874.0,ODFL
258,TARGA RESOURCES CORP,0.07188,TRGP,-,2647277.0,TRGP
259,CHARTER COMMUNICATIONS INC A,0.071053,CHTR,-,1172814.0,CHTR
260,DISCOVER FINANCIAL SERVICES,0.070822,DFS,-,2974560.0,DFS
261,DIAMONDBACK ENERGY INC,0.070746,FANG,-,2127384.0,FANG
262,IRON MOUNTAIN INC,0.070239,IRM,-,3467452.0,IRM
263,COSTAR GROUP INC,0.069397,CSGP,-,4842699.0,CSGP
264,AVALONBAY COMMUNITIES INC,0.068958,AVB,-,1666786.0,AVB
265,MARTIN MARIETTA MATERIALS,0.068299,MLM,-,734618.0,MLM
266,CORNING INC,0.068293,GLW,-,9082114.0,GLW
267,VULCAN MATERIALS CO,0.067757,VMC,-,1578657.0,VMC
268,XYLEM INC,0.066641,XYL,-,2842471.0,XYL
269,WILLIS TOWERS WATSON PLC,0.06603,WTW,-,1225980.0,WTW
270,EBAY INC,0.065803,EBAY,-,6007476.0,EBAY
271,NASDAQ INC,0.065327,NDAQ,-,4907163.0,NDAQ
272,METTLER TOLEDO INTERNATIONAL,0.065274,MTD,-,256630.0,MTD
273,WEC ENERGY GROUP INC,0.064959,WEC,-,3748835.0,WEC
274,ARCHER DANIELS MIDLAND CO,0.064591,ADM,-,5870064.0,ADM
275,ROCKWELL AUTOMATION INC,0.064487,ROK,-,1363149.0,ROK
276,HP INC,0.064486,HPQ,-,10305189.0,HPQ
277,PPG INDUSTRIES INC,0.064409,PPG,-,2789784.0,PPG
278,TRACTOR SUPPLY COMPANY,0.06427,TSCO,-,1283708.0,TSCO
279,LULULEMON ATHLETICA INC,0.064212,LULU,-,1367175.0,LULU
280,ON SEMICONDUCTOR,0.064099,ON,-,5100560.0,ON
281,BIOGEN INC,0.063901,BIIB,-,1719833.0,BIIB
282,NVR INC,0.063437,NVR,-,37807.0,NVR
283,HERSHEY CO/THE,0.063148,HSY,-,1708162.0,HSY
284,KRAFT HEINZ CO/THE,0.062659,KHC,-,9448969.0,KHC
285,CDW CORP/DE,0.062548,CDW,-,1592986.0,CDW
286,AMERICAN WATER WORKS CO INC,0.061318,AWK,-,2302356.0,AWK
287,FIFTH THIRD BANCORP,0.061005,FITB,-,8103049.0,FITB
288,WABTEC CORP,0.060796,WAB,-,2042526.0,WAB
289,M + T BANK CORP,0.060754,MTB,-,1971992.0,MTB
290,GARMIN LTD,0.060691,GRMN,-,1820568.0,GRMN
291,PULTEGROUP INC,0.060671,PHM,-,2518487.0,PHM
292,GLOBAL PAYMENTS INC,0.060524,GPN,-,3030186.0,GPN
293,CARDINAL HEALTH INC,0.060059,CAH,-,2904139.0,CAH
294,DEXCOM INC,0.05994,DXCM,-,4721682.0,DXCM
295,DELTA AIR LINES INC,0.05948,DAL,-,7648592.0,DAL
296,DEVON ENERGY CORP,0.058272,DVN,-,7618339.0,DVN
297,ANSYS INC,0.058228,ANSS,-,1031667.0,ANSS
298,INTL FLAVORS + FRAGRANCES,0.057862,IFF,-,3035846.0,IFF
299,ENTERGY CORP,0.056727,ETR,-,2515090.0,ETR
300,CHURCH + DWIGHT CO INC,0.056603,CHD,-,2908508.0,CHD
301,SBA COMMUNICATIONS CORP,0.056533,SBAC,-,1281037.0,SBAC
302,HALLIBURTON CO,0.056199,HAL,-,10623922.0,HAL
303,EQUITY RESIDENTIAL,0.055921,EQR,-,4065536.0,EQR
304,DTE ENERGY COMPANY,0.055869,DTE,-,2451110.0,DTE
305,VENTAS INC,0.0555,VTR,-,4771798.0,VTR
306,STATE STREET CORP,0.055265,STT,-,3586128.0,STT
307,AXON ENTERPRISE INC,0.055002,AXON,-,838272.0,AXON
308,KEYSIGHT TECHNOLOGIES IN,0.054935,KEYS,-,2074650.0,KEYS
309,FORTIVE CORP,0.054639,FTV,-,4178647.0,FTV
310,TAKE TWO INTERACTIVE SOFTWRE,0.054457,TTWO,-,1879320.0,TTWO
311,DOVER CORP,0.05394,DOV,-,1662242.0,DOV
312,BROWN + BROWN INC,0.05391,BRO,-,2803197.0,BRO
313,BROADRIDGE FINANCIAL SOLUTIO,0.053712,BR,-,1398401.0,BR
314,TYLER TECHNOLOGIES INC,0.053347,TYL,-,496114.0,TYL
315,MODERNA INC,0.053071,MRNA,-,3935127.0,MRNA
316,VISTRA CORP,0.052881,VST,-,3877957.0,VST
317,VERALTO CORP,0.05243,VLTO,-,2606382.0,VLTO
318,LYONDELLBASELL INDU CL A,0.052272,LYB,-,3021820.0,LYB
