,Name,Weight (%),Identifier,Sector,Shares Held,yfinance_ticker
427,DOLLAR TREE INC,0.030417,DLTR,-,2472062.0,DLTR
428,EVERGY INC,0.030259,EVRG,-,2736587.0,EVRG
429,HUNT (JB) TRANSPRT SVCS INC,0.030071,JBHT,-,968720.0,JBHT
430,VIATRIS INC,0.029749,VTRS,-,14266403.0,VTRS
431,TRIMBLE INC,0.029595,TRMB,-,2953873.0,TRMB
432,UDR INC,0.029388,UDR,-,3605685.0,UDR
433,POOL CORP,0.029013,POOL,-,459340.0,POOL
434,NORDSON CORP,0.028932,NDSN,-,640152.0,NDSN
435,LIVE NATION ENTERTAINMENT IN,0.028924,LYV,-,1684899.0,LYV
436,CAMDEN PROPERTY TRUST,0.028704,CPT,-,1269837.0,CPT
437,CARMAX INC,0.027639,KMX,-,1881805.0,KMX
438,JACK HENRY + ASSOCIATES INC,0.027213,JKHY,-,866994.0,JKHY
439,JM SMUCKER CO/THE,0.027104,SJM,-,1218002.0,SJM
440,JUNIPER NETWORKS INC,0.026918,JNPR,-,3788651.0,JNPR
441,JABIL INC,0.026773,JBL,-,1432108.0,JBL
442,REGENCY CENTERS CORP,0.026285,REG,-,1956223.0,REG
443,CELANESE CORP,0.026284,CE,-,1183388.0,CE
444,INTERPUBLIC GROUP OF COS INC,0.02621,IPG,-,4556261.0,IPG
445,ALLEGION PLC,0.02596,ALLE,-,1043143.0,ALLE
446,F5 INC,0.025957,FFIV,-,705205.0,FFIV
447,HOST HOTELS + RESORTS INC,0.025928,HST,-,8376042.0,HST
448,C.H. ROBINSON WORLDWIDE INC,0.025832,CHRW,-,1385033.0,CHRW
449,EPAM SYSTEMS INC,0.02579,EPAM,-,680518.0,EPAM
450,EASTMAN CHEMICAL CO,0.025344,EMN,-,1409641.0,EMN
451,TELEFLEX INC,0.025314,TFX,-,559496.0,TFX
452,BIO TECHNE CORP,0.024803,TECH,-,1875125.0,TECH
453,AES CORP,0.023917,AES,-,7984034.0,AES
454,CATALENT INC,0.023841,CTLT,-,2147182.0,CTLT
455,LKQ CORP,0.023545,LKQ,-,3182959.0,LKQ
456,HUNTINGTON INGALLS INDUSTRIE,0.023521,HII,-,472203.0,HII
457,BXP INC,0.023083,BXP,-,1673237.0,BXP
458,MOLSON COORS BEVERAGE CO   B,0.022762,TAP,-,2205862.0,TAP
459,CAMPBELL SOUP CO,0.02248,CPB,-,2341438.0,CPB
460,QORVO INC,0.022372,QRVO,-,1158697.0,QRVO
461,NEWS CORP   CLASS A,0.022281,NWSA,-,4532220.0,NWSA
462,ASSURANT INC,0.02225,AIZ,-,624444.0,AIZ
463,PINNACLE WEST CAPITAL,0.021677,PNW,-,1334207.0,PNW
464,FOX CORP   CLASS A,0.021599,FOXA,-,2895983.0,FOXA
465,MATCH GROUP INC,0.021376,MTCH,-,3225209.0,MTCH
466,MARKETAXESS HOLDINGS INC,0.021207,MKTX,-,446228.0,MKTX
467,CHARLES RIVER LABORATORIES,0.021102,CRL,-,606770.0,CRL
468,SMITH (A.O.) CORP,0.020747,AOS,-,1457938.0,AOS
469,HORMEL FOODS CORP,0.020698,HRL,-,3434663.0,HRL
470,TAPESTRY INC,0.020322,TPR,-,2721331.0,TPR
471,SOLVENTUM CORP,0.020105,SOLV,-,1641366.0,SOLV
472,APA CORP,0.019968,APA,-,4275770.0,APA
473,LAMB WESTON HOLDINGS INC,0.019896,LW,-,1706269.0,LW
474,ALBEMARLE CORP,0.019852,ALB,-,1395246.0,ALB
475,INCYTE CORP,0.019775,INCY,-,1744671.0,INCY
476,HENRY SCHEIN INC,0.019775,HSIC,-,1553195.0,HSIC
477,MGM RESORTS INTERNATIONAL,0.0193,MGM,-,2979443.0,MGM
478,GLOBE LIFE INC,0.019285,GL,-,1016486.0,GL
479,GENERAC HOLDINGS INC,0.018841,GNRC,-,729365.0,GNRC
480,HASBRO INC,0.018649,HAS,-,1515628.0,HAS
481,FEDERAL REALTY INVS TRUST,0.018617,FRT,-,871514.0,FRT
482,MOSAIC CO/THE,0.018358,MOS,-,3878803.0,MOS
483,DAYFORCE INC,0.018349,DAY,-,1820592.0,DAY
484,BROWN FORMAN CORP CLASS B,0.017939,BF.B,-,2147838.0,BF.B
485,DAVITA INC,0.017761,DVA,-,640031.0,DVA
486,CAESARS ENTERTAINMENT INC,0.017224,CZR,-,2524853.0,CZR
487,MOHAWK INDUSTRIES INC,0.016693,MHK,-,609939.0,MHK
488,FMC CORP,0.016659,FMC,-,1493616.0,FMC
489,PAYCOM SOFTWARE INC,0.016592,PAYC,-,578887.0,PAYC
490,BORGWARNER INC,0.016559,BWA,-,2771640.0,BWA
491,WYNN RESORTS LTD,0.016171,WYNN,-,1139179.0,WYNN
492,INVESCO LTD,0.015602,IVZ,-,5357405.0,IVZ
493,AMERICAN AIRLINES GROUP INC,0.015508,AAL,-,7760841.0,AAL
494,NORWEGIAN CRUISE LINE HOLDIN,0.015464,NCLH,-,4930776.0,NCLH
495,BIO RAD LABORATORIES A,0.015131,BIO,-,247991.0,BIO
496,RALPH LAUREN CORP,0.015083,RL,-,471612.0,RL
497,BATH + BODY WORKS INC,0.014309,BBWI,-,2704903.0,BBWI
498,ETSY INC,0.013979,ETSY,-,1420438.0,ETSY
499,WALGREENS BOOTS ALLIANCE INC,0.013864,WBA,-,8543628.0,WBA
500,FRANKLIN RESOURCES INC,0.011867,BEN,-,3352709.0,BEN
501,FOX CORP   CLASS B,0.010847,FOX,-,1569193.0,FOX
502,PARAMOUNT GLOBAL CLASS B,0.010721,PARA,-,5742827.0,PARA
503,NEWS CORP  CLASS B,0.00703,NWS,-,1374184.0,NWS
504,POUND STERLING,0.0,-,-,397.0,-
